Start_Date,End_Date,Transaction_End,Transaction_DailyAvg,Bank_Transfer_Added,Bank_Transfer_Deducted,Bank_Transfer_Net,Shanghai_Index_Closing,Shanghai_Index_Change
2017年6月12日,2017年6月16日,12205,12541,3985,4662,-677,3123.17,-1.12%
2017年6月5日,2017年6月9日,12619,12850,4075,4484,-409,3158.4,1.70%
2017年5月31日,2017年6月2日,12069,12175,3058,2813,245,3105.54,-0.15%
2017年5月22日,2017年5月26日,12228,12815,4498,5393,-895,3110.06,0.63%
2017年5月15日,2017年5月19日,12333,12638,4400,4415,-15,3090.63,0.23%
2017年5月8日,2017年5月12日,12467,12755,4499,4708,-209,3083.51,-0.63%
2017年5月2日,2017年5月5日,12264,12354,3596,3361,235,3103.04,-1.64%
2017年5月1日,2017年5月1日,12055,12626,18140,18778,-638,-,-
2017年4月24日,2017年4月28日,12055,12669,5046,5286,-240,3154.66,-0.58%
2017年4月17日,2017年4月21日,12833,13353,4910,4976,-66,3173.15,-2.25%
2017年4月10日,2017年4月14日,13401,14054,4995,5677,-682,3246.07,-1.23%
2017年4月5日,2017年4月7日,13944,13633,3896,3070,826,3286.62,1.99%
2017年4月1日,2017年4月1日,12055,13405,18847,19009,-162,-,-
2017年3月27日,2017年3月31日,11532,12410,5478,5569,-91,3222.51,-1.44%
2017年3月20日,2017年3月24日,12875,13235,5269,5119,150,3269.45,0.99%
2017年3月13日,2017年3月17日,13213,13595,5314,4851,463,3237.45,0.77%
2017年3月6日,2017年3月10日,13365,13589,4462,4648,-186,3212.76,-0.17%
2017年3月1日,2017年3月1日,11532,13243,23280,22933,347,3246.93,0.16%
2017年2月27日,2017年3月3日,13596,13420,4824,4715,109,3218.31,-1.08%
2017年2月20日,2017年2月24日,13029,13115,4653,4332,321,3253.43,1.60%
2017年2月13日,2017年2月17日,12792,13148,4511,4316,195,3202.08,0.17%
2017年2月6日,2017年2月10日,12936,13058,4352,4043,309,3196.7,1.80%
2017年2月3日,2017年2月3日,11813,11813,949,455,494,3140.17,-0.60%
2017年2月1日,2017年2月1日,13178,13060,16531,15116,1415,-,-
2017年1月23日,2017年1月26日,10887,12021,3544,4608,-1064,3159.17,1.15%
2017年1月16日,2017年1月20日,12631,12832,5602,5146,456,3123.14,0.33%
2017年1月9日,2017年1月13日,13153,13632,4835,5204,-369,3112.76,-1.32%
2017年1月3日,2017年1月6日,13341,13227,4139,4326,-187,3154.32,1.63%
2017年1月1日,2017年1月1日,10887,12962,18120,19284,-1164,-,-
2016年12月19日,2016年12月23日,13372,13721,5787,5134,653,3110.15,-0.41%
2016年12月12日,2016年12月16日,13650,14178,5968,5088,880,3122.98,-3.40%
2016年12月5日,2016年12月9日,14098,14590,4962,5199,-237,3232.88,-0.34%
2016年12月1日,2016年12月1日,12678,13961,24853,23972,881,3273.31,0.72%
2016年11月28日,2016年12月2日,14337,14476,5532,4947,585,3243.84,-0.55%
2016年11月21日,2016年11月25日,14636,14830,5030,4964,66,3261.94,2.16%
2016年11月14日,2016年11月18日,14649,14934,4809,5106,-297,3192.86,-0.10%
2016年11月7日,2016年11月11日,14950,14930,4729,4702,27,3196.04,2.26%
2016年11月1日,2016年11月1日,14396,14818,21911,21648,263,3122.44,0.71%
2016年10月31日,2016年11月4日,14671,14587,4783,4722,61,3125.32,0.68%
2016年10月24日,2016年10月28日,13779,14068,4984,4811,173,3104.27,0.43%
2016年10月17日,2016年10月21日,13821,14099,4316,4374,-58,3090.94,0.89%
2016年10月10日,2016年10月14日,14188,14238,5295,4665,630,3063.81,1.97%
2016年10月1日,2016年10月1日,14271,14144,15595,14698,897,-,-
2016年9月26日,2016年9月30日,12223,13339,4723,5765,-1042,3004.7,-0.96%
2016年9月19日,2016年9月23日,14013,14285,4463,4888,-425,3033.9,1.03%
2016年9月12日,2016年9月14日,13979,14445,2836,2955,-119,3002.85,-2.47%
2016年9月5日,2016年9月9日,14713,15041,4225,4455,-230,3078.85,0.37%
2016年9月1日,2016年9月1日,12223,14302,17999,19806,-1807,3063.31,-0.72%
2016年8月29日,2016年9月2日,14744,14888,4315,4520,-205,3067.35,-0.10%
2016年8月22日,2016年8月26日,15005,15162,4455,4721,-266,3070.31,-1.22%
2016年8月15日,2016年8月19日,15384,15699,4877,4872,5,3108.1,1.88%
2016年8月8日,2016年8月12日,15153,15230,4248,4087,161,3050.67,2.49%
2016年8月1日,2016年8月1日,14899,15302,20563,20668,-105,2953.39,-0.87%
2016年7月25日,2016年7月29日,15180,15506,4975,4807,168,2979.34,-1.11%
