Date,Ratte,Change_BP,Type
2021/2/7,1.6013,-33.66,99231
2021/2/2,2.3435,-52.1,99231
2021/2/24,1.5832,-43.3,99231
2021/2/20,1.4985,-41.11,99231
2021/2/10,2.0096,17.1,99231
2021/1/29,3.4819,31,99231
2021/2/25,1.763,17.99,99231
2021/2/5,1.9379,-18.78,99231
2021/2/23,2.0162,44.6,99231
2021/2/1,2.8645,-61.74,99231
2021/2/4,2.1257,20.69,99231
2021/2/18,2.3805,37.1,99231
2021/2/8,1.9561,35.49,99231
2021/2/22,1.5701,7.16,99231
2021/2/19,1.9096,-47.1,99231
2021/2/9,1.8385,-11.76,99231
2021/1/28,3.1719,10.5,99231
2021/2/26,2.1403,37.73,99231
2021/2/20,2.1074,-7.83,99232
2021/2/10,2.5498,-7.69,99232
2021/1/29,3.4026,-15.94,99232
2021/2/8,3.2922,64.2,99232
2021/2/25,2.8498,50.3,99232
2021/2/22,2.5528,44.55,99232
2021/2/19,2.1856,-49.83,99232
2021/1/28,3.5619,-7.5,99232
2021/2/26,2.4651,-38.48,99232
2021/2/24,2.3469,-26.53,99232
2021/2/2,2.7555,-108.22,99232
2021/2/23,2.6122,5.93,99232
2021/2/18,2.6839,13.41,99232
2021/2/1,3.8377,43.51,99232
2021/2/3,2.6246,-13.08,99232
2021/2/7,2.6502,2.69,99232
2021/2/4,3.0735,44.88,99232
2021/2/5,2.6233,-45.01,99232
2021/2/9,2.6267,-66.55,99232
2021/1/27,3.0669,22.09,99231
2021/2/8,2.8961,5.33,99233
2021/1/28,3.6251,41.67,99233
2021/2/10,2.3336,-58.51,99233
2021/2/2,2.7508,-53.34,99233
2021/2/20,2.3531,-3.17,99233
2021/2/3,2.7023,-4.85,99233
2021/2/23,2.6496,31.55,99233
2021/2/7,2.8428,-3.01,99233
2021/1/29,3.9838,35.86,99233
2021/2/26,2.9594,58.36,99233
2021/2/22,2.3341,-1.9,99233
2021/2/9,2.9187,2.26,99233
2021/2/5,2.8729,19.2,99233
2021/2/24,2.3445,-30.52,99233
2021/2/25,2.3758,3.14,99233
2021/2/18,2.396,6.24,99233
2021/2/4,2.681,-2.14,99233
2021/2/1,3.2842,-69.95,99233
2021/2/19,2.3848,-1.12,99233
2021/2/3,1.9188,-42.47,99231
2021/1/27,3.6369,59.02,99232
2021/1/26,2.846,32.07,99231
2020/12/30,0.7685,6.66,99231
2021/1/14,1.7472,26.61,99231
2021/1/11,1.2906,23.81,99231
2021/1/7,1.0089,30.61,99231
2021/1/21,2.6364,11.52,99231
2021/1/15,1.815,6.79,99231
2021/1/4,0.991,-35.25,99231
2020/12/28,0.748,-11.58,99231
2021/1/22,2.5127,-12.37,99231
2021/1/25,2.5254,1.27,99231
2021/1/19,2.3002,10.85,99231
2021/1/18,2.1917,37.67,99231
2020/12/29,0.7019,-4.61,99231
2021/1/13,1.481,6.78,99231
2021/1/12,1.4132,12.26,99231
2021/1/20,2.5212,22.11,99231
2021/1/6,0.7028,-11.83,99231
2021/1/5,0.821,-17,99231
2021/2/3,2.9202,4.17,99234
2021/2/23,2.98,40.79,99234
2021/2/20,2.3625,-1.1,99234
2021/2/18,2.5618,11.2,99234
2021/1/22,2.65,0.93,99234
2021/1/26,2.82,282,99234
2021/2/25,2.5214,252.14,99234
2021/2/1,3.3824,-50.01,99234
2021/2/8,3.1526,25.74,99234
2021/2/22,2.5721,20.96,99234
2021/1/29,3.8824,388.24,99234
2021/2/10,2.4498,-78.24,99234
2021/2/19,2.3735,-18.83,99234
2021/2/26,5.6833,316.19,99234
2021/2/7,2.8952,-3.13,99234
2021/2/9,3.2323,7.96,99234
2021/2/4,2.9608,4.06,99234
2021/2/2,2.8785,-50.39,99234
2021/1/25,3.0617,48.35,99232
2021/1/15,2.27,10.21,99232
2020/12/30,2.8342,13.67,99232
2021/1/5,2.1237,-32.9,99232
2021/1/4,2.4527,-9.98,99232
2021/1/18,2.7814,51.15,99232
2020/12/29,2.6975,6.38,99232
2021/1/13,2.486,26.73,99232
2021/1/21,2.5693,-26.97,99232
2021/2/25,2.4857,-82.27,99235
2021/1/22,2.5782,0.89,99232
2021/1/14,2.1678,-31.82,99232
2020/12/28,2.6337,-13.79,99232
2020/12/24,0.6922,-0.95,99231
2021/1/11,2.5872,50.89,99232
2021/1/27,3.2084,24.7,99233
2021/2/24,3.3084,44.64,99235
2021/1/6,2.466,34.23,99232
2021/1/12,2.2187,-36.86,99232
2021/2/20,2.9,-32.5,99235
2021/2/23,2.862,6.22,99235
2021/1/7,2.0476,-41.84,99232
2021/2/26,3.4196,93.39,99235
2021/2/22,2.7998,-10.02,99235
2021/1/26,3.0467,-1.5,99232
2021/2/26,3.4196,93.39,99235
2021/2/24,3.3084,44.64,99235
2021/2/19,3.225,48.5,99235
2021/2/2,3.2589,-36.82,99235
2021/2/5,2.9266,-3.42,99234
2021/1/20,2.8391,13.4,99232
2021/1/19,2.705,-7.64,99232
2021/2/8,3.2568,37.08,99235
2021/2/18,2.74,74,99235
2021/2/10,2,-73.45,99235
2021/1/28,3.2833,16.03,99235
2021/2/7,2.886,-1.37,99235
2021/2/5,2.8997,-34.94,99235
2021/2/4,3.2491,-15.85,99235
2021/1/29,4.1428,85.95,99235
2021/2/3,3.4076,14.87,99235
2021/2/9,2.7345,-52.23,99235
2021/2/1,3.627,-51.58,99235
2020/12/24,2.2635,-30.47,99232
2021/1/13,1.9683,-25.39,99233
2020/12/30,3.0828,10.52,99233
2021/1/19,2.1938,-20.16,99233
2021/1/25,2.9071,10.1,99233
2020/11/25,2.6285,-1.65,99232
2020/12/14,2.3866,-26.01,99232
2020/12/7,1.426,27.14,99231
2021/1/11,1.9275,7.13,99233
2021/1/12,2.2222,29.47,99233
2020/12/29,2.9776,-4.56,99233
2020/12/23,2.5682,25.56,99232
2020/11/26,2.5748,-5.37,99232
2020/11/26,1.359,-26.95,99231
2021/1/22,2.8062,14.98,99233
2021/1/18,2.3953,30.99,99233
2020/12/9,2.5658,20.16,99232
2020/11/25,1.6285,-25.15,99231
2021/1/7,1.8112,-42.31,99233
2021/1/4,2.1479,-94.25,99233
2020/12/28,3.0232,-28.56,99233
2020/12/16,2.4245,2.56,99232
2021/1/5,1.854,-29.39,99233
2021/1/21,2.6407,10.07,99234
2020/12/16,1.0348,-43.1,99231
2020/12/10,2.5175,-4.83,99232
2020/12/1,2.3932,-19.05,99232
2020/12/22,1.0832,-47.11,99231
2021/1/27,3.123,1.38,99235
2020/12/8,2.3642,8.3,99232
2020/12/17,1.4193,38.45,99231
2020/12/8,1.3536,-7.24,99231
2021/1/6,2.2342,38.02,99233
2021/1/14,2.2595,29.12,99233
2020/12/23,0.7017,-38.15,99231
2020/12/10,1.0524,-7.66,99231
2020/11/24,1.88,-1.24,99231
2020/12/21,2.3244,-10.07,99232
2021/1/21,2.6564,-1.81,99233
2020/12/15,2.3989,1.23,99232
2020/12/7,2.2812,-27.19,99232
2021/1/15,2.0854,-17.41,99233
2021/1/26,2.9614,5.43,99233
2021/1/20,2.6745,48.07,99233
2020/12/1,0.8366,-38.6,99231
2021/1/19,2.2805,8.92,99234
2021/1/18,2.1913,-10.87,99234
2020/12/15,1.4658,-28.65,99231
2020/12/3,0.9754,15.91,99231
2021/1/15,2.3,12.86,99234
2020/12/17,2.1744,-25.01,99232
2021/1/11,3.7,57.37,99234
2020/12/9,1.129,-22.46,99231
2020/11/30,1.2225,30.38,99231
2020/12/22,3.4438,58.38,99234
2020/12/14,1.7523,25.28,99231
2020/12/29,3,-16.68,99234
2020/11/19,2.6169,-7.1,99232
2020/11/30,2.5837,-16.55,99232
2020/11/23,1.8923,-11.24,99231
2020/11/19,1.9661,19.86,99231
2021/1/12,2.356,-134.4,99234
2020/12/2,0.8163,-2.03,99231
2020/11/23,2.6507,0.13,99232
2020/11/24,2.6449,-0.58,99232
2020/12/22,2.3126,-1.18,99232
2021/1/14,2.1714,-1.49,99234
2020/11/16,2.8406,-26.21,99232
2021/1/18,2.39,14.64,99235
2021/2/2,3.7745,5.02,99237
2020/12/17,2.8973,289.73,99234
2020/12/30,3.2813,28.13,99234
2020/10/27,2.7854,12.31,99232
2021/1/22,2.7743,2,99235
2020/12/9,2.1034,2.69,99233
2020/12/23,3.15,-29.38,99234
2020/11/18,2.6878,-1.15,99232
2020/10/19,2.5017,1.25,99232
2020/12/10,2.39,28.66,99233
2021/1/12,2.3119,10.08,99235
2020/12/7,2.0601,-205.12,99233
2021/2/23,4.0047,-3.42,99237
2021/1/5,1.8983,-1.34,99234
2020/12/24,2.7,-45,99234
2020/11/3,2.4516,-32.04,99232
2020/11/24,2.9045,-6.82,99233
2020/10/15,2.7073,17.72,99232
2020/11/18,1.7675,-7.51,99231
2020/12/28,3.1668,20.38,99234
2020/11/4,2.6203,16.87,99232
2020/11/2,2.772,-41.88,99232
2020/10/22,2.7845,25.85,99232
2021/1/6,2.6,70.17,99234
2021/1/13,2.1864,-16.96,99234
2020/11/10,2.5881,-6.68,99232
2021/1/20,2.7773,35.68,99235
2021/1/11,2.2111,4.49,99235
2020/12/22,2.8991,6.94,99233
2020/12/1,2.1272,-64.5,99233
2021/1/28,3.8557,4.24,99237
2020/11/16,2.2974,-32.58,99231
2020/10/27,2.4692,22.31,99231
2020/12/29,3.6893,12.48,99235
2021/1/7,1.8,-80,99234
2020/11/9,2.655,10.44,99232
2021/1/25,2.9306,15.62,99235
2021/1/7,3.1016,-4.84,99235
2020/11/30,2.7722,-22.25,99233
2020/12/21,2.86,-106,99234
2020/10/29,2.883,-24.64,99232
2020/11/12,2.8739,5.73,99232
2020/12/24,3.3551,43.24,99233
2021/1/20,2.54,25.95,99234
2020/10/20,2.7347,23.3,99232
2021/2/19,4.2124,71.21,99237
2021/2/18,3.5003,-46.97,99237
2021/2/7,3.2582,9.11,99237
2021/1/29,3.8563,0.06,99237
