Month,CPGI,CPGI_YOY,CPGI_Comparative,Agricultural_Products_Index,API_YOY,API_Comparative,Mineral_Products_Index,MPI_YOY,MPI_Comparative,Kerosene_Power_Index,KPI_YOY,KPI_Comparative
2022年01月份,106.4,5.14%,-1.02%,93.1,-8.55%,-3.62%,103.4,-6.59%,-0.77%,118,25.93%,-0.51%
2021年12月份,107.5,7.29%,-2.09%,96.6,-3.98%,-1.63%,104.2,-4.14%,-3.34%,118.6,28.08%,-4.20%
2021年11月份,109.8,10.91%,-0.27%,98.2,-1.80%,6.62%,107.8,1.32%,-3.23%,123.8,36.64%,0.08%
2021年10月份,110.1,11.78%,2.04%,92.1,-10.41%,2.56%,111.4,5.79%,-2.62%,123.7,37.14%,5.19%
2021年09月份,107.9,9.32%,0.28%,89.8,-15.36%,-3.65%,114.4,10.32%,-1.63%,117.6,29.09%,2.17%
2021年08月份,107.6,8.80%,-0.28%,93.2,-13.62%,-1.38%,116.3,12.37%,-3.88%,115.1,26.34%,-0.17%
2021年07月份,107.9,9.54%,-0.19%,94.5,-13.78%,-2.07%,121,18.86%,-0.41%,115.3,28.25%,0.35%
2021年06月份,108.1,10.64%,-0.92%,96.5,-11.55%,-3.50%,121.5,19.12%,0.41%,114.9,31.46%,-0.26%
2021年05月份,109.1,12.82%,1.49%,100,-8.42%,0.30%,121,18.98%,3.07%,115.2,35.53%,3.69%
2021年04月份,107.5,10.82%,1.99%,99.7,-10.50%,-1.48%,117.4,14.76%,1.91%,111.1,28.00%,6.72%
2021年03月份,105.4,6.90%,2.43%,101.2,-10.84%,-0.30%,115.2,10.66%,1.14%,104.1,13.15%,6.66%
2021年02月份,102.9,2.59%,1.68%,101.5,-13.40%,-0.29%,113.9,8.48%,2.89%,97.6,0.10%,4.16%
2021年01月份,101.2,0.20%,1.00%,101.8,-14.17%,1.19%,110.7,3.55%,1.84%,93.7,-6.67%,1.19%
2020年12月份,100.2,-0.30%,1.21%,100.6,-14.09%,0.60%,108.7,1.68%,2.16%,92.6,-5.51%,2.21%
2020年11月份,99,-0.40%,0.51%,100,-13.72%,-2.72%,106.4,0.57%,1.04%,90.6,-3.72%,0.44%
2020年10月份,98.5,-0.40%,-0.20%,102.8,-8.38%,-3.11%,105.3,-1.96%,1.54%,90.2,-2.80%,-0.99%
2020年09月份,98.7,-0.20%,-0.20%,106.1,-2.93%,-1.67%,103.7,-4.69%,0.19%,91.1,-2.57%,0.00%
2020年08月份,98.9,-0.40%,0.41%,107.9,-0.28%,-1.55%,103.5,-7.75%,1.67%,91.1,-3.70%,1.33%
2020年07月份,98.5,-1.20%,0.82%,109.6,2.05%,0.46%,101.8,-11.25%,-0.20%,89.9,-6.26%,2.86%
2020年06月份,97.7,-2.10%,1.03%,109.1,1.77%,-0.09%,102,-9.09%,0.29%,87.4,-10.36%,2.82%
2020年05月份,96.7,-3.97%,-0.31%,109.2,1.77%,-1.97%,101.7,-7.88%,-0.59%,85,-14.57%,-2.07%
2020年04月份,97,-4.06%,-1.62%,111.4,4.11%,-1.85%,102.3,-6.23%,-1.73%,86.8,-13.72%,-5.65%
2020年03月份,98.6,-1.99%,-1.69%,113.5,9.45%,-3.16%,104.1,-2.44%,-0.86%,92,-9.00%,-5.64%
2020年02月份,100.3,0.60%,-0.69%,117.2,18.50%,-1.18%,105,-0.57%,-1.78%,97.5,-1.52%,-2.89%
2020年01月份,101,1.51%,0.50%,118.6,20.65%,1.28%,106.9,2.10%,0.00%,100.4,1.83%,2.45%
2019年12月份,100.5,0.20%,1.11%,117.1,18.28%,1.04%,106.9,1.42%,1.04%,98,-3.45%,4.14%
2019年11月份,99.4,-2.36%,0.51%,115.9,16.02%,3.30%,105.8,-1.40%,-1.49%,94.1,-11.48%,1.40%
2019年10月份,98.9,-3.79%,0.00%,112.2,10.65%,2.65%,107.4,0.94%,-1.29%,92.8,-15.17%,-0.75%
2019年09月份,98.9,-4.17%,-0.40%,109.3,7.05%,1.02%,108.8,3.13%,-3.03%,93.5,-14.53%,-1.16%
2019年08月份,99.3,-3.87%,-0.40%,108.2,7.55%,0.74%,112.2,8.41%,-2.18%,94.6,-13.76%,-1.36%
2019年07月份,99.7,-4.04%,-0.10%,107.4,7.29%,0.19%,114.7,10.29%,2.23%,95.9,-13.37%,-1.64%
2019年06月份,99.8,-4.13%,-0.89%,107.2,7.31%,-0.09%,112.2,6.96%,1.63%,97.5,-10.71%,-2.01%
2019年05月份,100.7,-2.80%,-0.40%,107.3,7.84%,0.28%,110.4,5.95%,1.19%,99.5,-6.84%,-1.09%
2019年04月份,101.1,-1.65%,0.50%,107,8.96%,3.18%,109.1,6.65%,2.25%,100.6,-3.92%,-0.49%
2019年03月份,100.6,-2.04%,0.90%,103.7,4.22%,4.85%,106.7,5.02%,1.04%,101.1,-2.69%,2.12%
2019年02月份,99.7,-3.58%,0.20%,98.9,-1.88%,0.61%,105.6,1.64%,0.86%,99,-5.62%,0.41%
2019年01月份,99.5,-4.23%,-0.80%,98.3,0.51%,-0.71%,104.7,-0.85%,-0.66%,98.6,-5.92%,-2.86%
2018年12月份,100.3,-3.93%,-1.47%,99,0.41%,-0.90%,105.4,-0.19%,-1.77%,101.5,-3.97%,-4.52%
2018年11月份,101.8,-3.32%,-0.97%,99.9,1.42%,-1.48%,107.3,-0.28%,0.85%,106.3,-0.75%,-2.83%
2018年10月份,102.8,-3.75%,-0.39%,101.4,1.71%,-0.69%,106.4,-4.32%,0.85%,109.4,0.74%,0.00%
2018年09月份,103.2,-3.46%,-0.10%,102.1,3.03%,1.49%,105.5,-5.64%,1.93%,109.4,-0.45%,-0.27%
2018年08月份,103.3,-3.19%,-0.58%,100.6,0.80%,0.50%,103.5,-7.42%,-0.48%,109.7,-1.17%,-0.90%
2018年07月份,103.9,-1.80%,-0.19%,100.1,1.42%,0.20%,104,-4.85%,-0.86%,110.7,1.37%,1.37%
2018年06月份,104.1,-1.89%,0.48%,99.9,1.73%,0.40%,104.9,-4.81%,0.67%,109.2,-1.36%,2.25%
2018年05月份,103.6,-2.45%,0.78%,99.5,2.58%,1.32%,104.2,-5.44%,1.86%,106.8,-6.48%,2.01%
2018年04月份,102.8,-3.75%,0.10%,98.2,1.03%,-1.31%,102.3,-8.82%,0.69%,104.7,-11.72%,0.77%
2018年03月份,102.7,-5.26%,-0.68%,99.5,1.84%,-1.29%,101.6,-12.26%,-2.21%,103.9,-13.85%,-0.95%
2018年02月份,103.4,-5.40%,-0.48%,100.8,0.70%,3.07%,103.9,-11.27%,-1.61%,104.9,-13.66%,0.10%
2018年01月份,103.9,-4.24%,-0.48%,97.8,-6.41%,-0.81%,105.6,-8.33%,0.00%,104.8,-10.96%,-0.85%
2017年12月份,104.4,-2.25%,-0.85%,98.6,-4.73%,0.10%,105.6,-5.97%,-1.86%,105.7,-4.95%,-1.31%
2017年11月份,105.3,0.77%,-1.40%,98.5,-5.83%,-1.20%,107.6,0.28%,-3.24%,107.1,0.75%,-1.38%
2017年10月份,106.8,5.01%,-0.09%,99.7,-3.48%,0.61%,111.2,8.81%,-0.54%,108.6,6.58%,-1.18%
2017年09月份,106.9,6.69%,0.19%,99.1,-2.46%,-0.70%,111.8,10.15%,0.00%,109.9,11.46%,-0.99%
2017年08月份,106.7,8.12%,0.85%,99.8,-0.25%,1.11%,111.8,12.00%,2.29%,111,18.01%,1.65%
2017年07月份,105.8,8.08%,-0.28%,98.7,-2.68%,0.51%,109.3,12.13%,-0.82%,109.2,19.08%,-1.36%
2017年06月份,106.1,9.83%,-0.09%,98.2,-5.03%,1.24%,110.2,16.37%,0.00%,110.7,22.73%,-3.06%
2017年05月份,106.2,10.40%,-0.56%,97,-7.88%,-0.21%,110.2,16.00%,-1.78%,114.2,28.17%,-3.71%
2017年04月份,106.8,11.25%,-1.48%,97.2,-9.07%,-0.51%,112.2,17.49%,-3.11%,118.6,36.79%,-1.66%
2017年03月份,108.4,14.23%,-0.82%,97.7,-8.52%,-2.40%,115.8,23.98%,-1.11%,120.6,41.05%,-0.74%
2017年02月份,109.3,16.40%,0.74%,100.1,-5.21%,-4.21%,117.1,30.55%,1.65%,121.5,41.77%,3.23%
2017年01月份,108.5,16.17%,1.59%,104.5,-0.19%,0.97%,115.2,30.61%,2.58%,117.7,37.66%,5.85%
2016年12月份,106.8,15.21%,2.20%,103.5,0.10%,-1.05%,112.3,28.20%,4.66%,111.2,30.98%,4.61%
2016年11月份,104.5,13.22%,2.75%,104.6,3.26%,1.26%,107.3,21.79%,4.99%,106.3,26.25%,4.32%
2016年10月份,101.7,9.83%,1.50%,103.3,1.97%,1.67%,102.2,15.09%,0.69%,101.9,22.18%,3.35%
