Month,Nation_Current_Month,Nation_YOY,Nation_Comparative_Rate,Nation_Total,City_Current_Month,City_YOY,City_Comparative_Rate,City_Total,Country_Current_Month,Country_YOY,Country_Comparative_Rate,Country_Total
2022年01月份,100.9,0.90%,0.40%,100.9,101.1,1.10%,0.50%,101.1,100.4,0.40%,0.30%,100.4
2021年12月份,101.5,1.50%,-0.30%,100.9,101.6,1.60%,-0.30%,101,101.2,1.20%,-0.30%,100.7
2021年11月份,102.3,2.30%,0.40%,100.9,102.4,2.40%,0.30%,100.9,102.2,2.20%,0.60%,100.6
2021年10月份,101.5,1.50%,0.70%,100.7,101.6,1.60%,0.70%,100.8,101.2,1.20%,0.70%,100.5
2021年09月份,100.7,0.70%,0.00%,100.6,100.8,0.80%,0.00%,100.7,100.2,0.20%,0.10%,100.4
2021年08月份,100.8,0.80%,0.10%,100.6,101,1.00%,0.10%,100.7,100.3,0.30%,0.20%,100.4
2021年07月份,101,1.00%,0.30%,100.6,101.2,1.20%,0.30%,100.6,100.4,0.40%,0.20%,100.4
2021年06月份,101.1,1.10%,-0.40%,100.5,101.2,1.20%,-0.40%,100.6,100.7,0.70%,-0.50%,100.4
2021年05月份,101.3,1.30%,-0.20%,100.4,101.4,1.40%,-0.10%,100.4,101.1,1.10%,-0.30%,100.4
2021年04月份,100.9,0.90%,-0.30%,100.2,101,1.00%,-0.20%,100.2,100.7,0.70%,-0.50%,100.2
2021年03月份,100.4,0.40%,-0.50%,100,100.5,0.50%,-0.50%,99.9,100.4,0.40%,-0.60%,100
2021年02月份,99.8,-0.20%,0.60%,99.7,99.8,-0.20%,0.60%,99.7,99.9,-0.10%,0.40%,99.9
2021年01月份,99.7,-0.30%,1.00%,99.7,99.6,-0.40%,1.00%,99.6,99.9,-0.10%,1.10%,99.9
2020年12月份,100.2,0.20%,0.70%,102.5,100.2,0.20%,0.70%,102.3,100.2,0.20%,0.90%,103
2020年11月份,99.5,-0.50%,-0.60%,102.7,99.6,-0.40%,-0.60%,102.5,99.2,-0.80%,-0.60%,103.3
2020年10月份,100.5,0.50%,-0.30%,103,100.5,0.50%,-0.30%,102.8,100.4,0.40%,-0.50%,103.7
2020年09月份,101.7,1.70%,0.20%,103.3,101.6,1.60%,0.20%,103.1,102.1,2.10%,0.20%,104.1
2020年08月份,102.4,2.40%,0.40%,103.5,102.1,2.10%,0.40%,103.2,103.2,3.20%,0.40%,104.4
2020年07月份,102.7,2.70%,0.60%,103.7,102.4,2.40%,0.60%,103.4,103.7,3.70%,0.80%,104.5
2020年06月份,102.5,2.50%,-0.10%,103.8,102.2,2.20%,-0.10%,103.6,103.2,3.20%,0.00%,104.7
2020年05月份,102.4,2.40%,-0.80%,104.1,102.3,2.30%,-0.70%,103.8,103,3.00%,-0.90%,105
2020年04月份,103.3,3.30%,-0.90%,104.5,103,3.00%,-0.80%,104.2,104,4.00%,-1.00%,105.5
2020年03月份,104.3,4.30%,-1.20%,104.9,104,4.00%,-1.20%,104.6,105.3,5.30%,-1.30%,105.9
2020年02月份,105.2,5.20%,0.80%,105.3,104.8,4.80%,0.80%,105,106.3,6.30%,0.90%,106.3
