Month,Current_Month_Value,Current_Month_YOY,Current_Month_Comparattive,Total,Total_YOY
2021年12月份,11287,-15.81%,16.05%,202539,10.70%
2021年11月份,9726,-11.23%,-44.44%,191252,12.80%
2021年10月份,17506,-0.14%,25.65%,181526,14.50%
2021年09月份,13932,-2.12%,12.61%,164020,16.30%
2021年08月份,12372,2.73%,-39.94%,150088,18.40%
2021年07月份,20600,11.06%,-0.30%,137716,20.00%
2021年06月份,20662,11.66%,12.01%,117116,21.80%
2021年05月份,18446,18.71%,-11.71%,96454,24.20%
2021年04月份,20893,29.38%,36.47%,78008,25.50%
2021年03月份,15310,42.39%,0.00%,57115,24.20%
2021年02月份,0,0.00%,0.00%,41805,18.70%
2020年12月份,13406,17.44%,22.36%,182895,-3.90%
2020年11月份,10956,-2.73%,-37.50%,169489,-5.30%
2020年10月份,17531,2.97%,23.16%,158533,-5.50%
2020年09月份,14234,4.53%,18.19%,141002,-6.40%
2020年08月份,12043,5.29%,-35.07%,126768,-7.50%
2020年07月份,18549,4.34%,0.24%,114725,-8.70%
2020年06月份,18504,3.22%,19.08%,96176,-10.80%
2020年05月份,15539,-10.01%,-3.78%,77672,-13.60%
2020年04月份,16149,-14.98%,50.20%,62133,-14.50%
2020年03月份,10752,-26.11%,0.00%,45984,-14.30%
2020年02月份,0,0.00%,0.00%,35232,-9.90%
2019年12月份,11415,3.59%,1.35%,190382,3.80%
2019年11月份,11263,4.53%,-33.85%,178967,3.80%
2019年10月份,17026,8.26%,25.03%,167704,3.80%
2019年09月份,13617,5.05%,19.05%,150678,3.30%
2019年08月份,11438,3.26%,-35.66%,137061,3.20%
2019年07月份,17777,1.81%,-0.84%,125623,3.10%
2019年06月份,17927,1.40%,3.82%,107846,3.40%
2019年05月份,17268,-2.06%,-9.09%,89919,3.80%
2019年04月份,18995,2.83%,30.53%,72651,5.30%
2019年03月份,14552,3.99%,0.00%,53656,6.20%
2019年02月份,0,0.00%,0.00%,39104,7.00%
2018年12月份,11019,1.85%,2.26%,183352,6.20%
2018年11月份,10775,-5.40%,-31.49%,172333,6.50%
