Quater,GDP_Absolute,GDP_YOY,Primary_Indusry_Abs,Primary_Indusry_YOY,Secondary_Indusry_Abs,Secondary_Indusry_YOY,Tertiary_Indusry_Abs,Tertiary_Indusry_YOY
2021年第1-4季度,1143670,8.10%,83086,7.10%,450904,8.20%,609680,8.20%
2021年第1-3季度,823131,9.80%,51430,7.40%,320940,10.60%,450761,9.50%
2021年第1-2季度,532167,12.70%,28401,7.80%,207154,14.80%,296611,11.80%
2021年第1季度,249310,18.30%,11332,8.10%,92623,24.40%,145355,15.60%
2020年第1-4季度,1015986.2,2.30%,77754.1,3.00%,384255.3,2.60%,553976.8,2.10%
2020年第1-3季度,719688.4,0.70%,48123.9,2.30%,270315.4,0.90%,401249.1,0.40%
2020年第1-2季度,454712.1,-1.60%,26051.9,0.90%,170232.8,-1.90%,258427.4,-1.60%
2020年第1季度,205727,-6.80%,10185.1,-3.20%,72533.4,-9.60%,123008.5,-5.20%
2019年第1-4季度,986515.2,6.10%,70473.6,3.10%,380670.6,5.70%,535371,6.90%
2019年第1-3季度,709717.2,6.20%,43009.1,2.90%,272940.5,5.60%,393767.5,7.00%
2019年第1-2季度,458670.9,6.30%,23208.2,3.00%,176520.4,5.80%,258942.3,7.00%
2019年第1季度,217168.3,6.40%,8768.3,2.70%,80596.7,6.10%,127803.3,7.00%
2018年第1-4季度,919281.1,6.60%,64745.2,3.50%,364835.2,5.80%,489700.8,7.60%
2018年第1-3季度,660472.2,6.70%,39806.4,3.40%,260811.3,5.80%,359854.5,7.70%
2018年第1-2季度,425997.9,6.80%,21579.5,3.20%,167698.8,6.10%,236719.7,7.60%
2018年第1季度,202035.7,6.80%,8575.7,3.20%,76598.2,6.30%,116861.8,7.50%
2017年第1-4季度,832035.9,6.90%,62099.5,3.90%,331580.5,6.10%,438355.9,8.00%
2017年第1-3季度,596607.3,6.90%,39106.6,3.70%,236212.5,6.30%,321288.2,7.80%
2017年第1-2季度,383818,6.90%,20850.8,3.50%,151638.4,6.40%,211328.7,7.70%
2017年第1季度,181867.7,6.90%,8205.9,3.00%,69315.5,6.40%,104346.3,7.70%
