Adjust_Date,Gas_Price,Gas_Price_Change,Diesel_Price,Diesel_Price_Change
2022/3/4,9255,↑260,8210,↑255
2022/2/18,8995,↑210,7955,↑200
2022/1/30,8785,↑310,7755,↑300
2022/1/18,8475,↑345,7455,↑330
2022/1/1,8130,↑140,7125,↑135
2021/12/18,7990,↓130,6990,↓125
2021/12/4,8120,↓430,7115,↓415
2021/11/20,8550,↓95,7530,↓90
2021/10/23,8645,↑300,7620,↑290
2021/10/10,8345,↑345,7330,↑330
2021/9/19,8000,↑90,7000,↑85
2021/9/7,7910,↑140,6915,↑140
2021/8/24,7770,↓250,6775,↓245
2021/7/27,8020,↓100,7020,↓95
2021/7/13,8120,↑70,7115,↑65
2021/6/29,8050,↑225,7050,↑215
2021/6/12,7825,↑175,6835,↑170
2021/5/15,7650,↑100,6665,↑100
2021/4/29,7550,↑100,6565,↑95
2021/4/1,7450,↓225,6470,↓220
2021/3/18,7675,↑235,6690,↑230
2021/3/4,7440,↑260,6460,↑250
2021/2/19,7180,↑275,6210,↑265
2021/2/1,6905,↑75,5945,↑70
2021/1/18,6830,↑185,5875,↑180
2021/1/1,6645,↑90,5695,↑85
2020/12/18,6555,↑155,5610,↑150
2020/12/4,6400,↑250,5460,↑240
2020/11/20,6150,↑150,5220,↑145
2020/11/6,6000,↓160,5075,↓150
2020/10/23,6160,↑80,5225,↑70
2020/9/19,6080,↓315,5155,↓300
2020/8/22,6395,↑85,5455,↑80
2020/7/11,6310,↑100,5375,↑100
2020/6/29,6210,↑120,5275,↑110
2020/3/19,6090,↓1015,5165,↓975
2020/2/19,7105,↓415,6140,↓400
2020/2/5,7520,↓420,6540,↓405
2019/12/31,7940,↑235,6945,↑230
2019/12/3,7705,↑55,6715,↑50
2019/11/19,7650,↑70,6665,↑65
2019/11/5,7580,↑105,6600,↑105
2019/10/22,7475,↓150,6495,↓145
2019/9/19,7625,↑125,6640,↑125
2019/9/4,7500,↑115,6515,↑105
2019/8/21,7385,↓210,6410,↓205
2019/8/7,7595,↓80,6615,↓70
2019/7/10,7675,↑150,6685,↑140
2019/6/27,7525,↓120,6545,↓115
2019/6/12,7645,↓465,6660,↓445
2019/5/28,8110,↑50,7105,↑50
2019/5/14,8060,↓75,7055,↓75
2019/4/27,8135,↑195,7130,↑185
2019/4/13,7940,↑155,6945,↑150
2019/3/29,7990,↑80,6975,↑80
2019/3/1,7910,↑270,6895,↑260
2019/2/15,7640,↑50,6635,↑50
2019/1/29,7590,-,6585,-
2019/1/15,7345,↑105,6355,↑105
2018/12/29,7240,↓370,6250,↓355
2018/12/15,7610,↓125,6605,↓120
2018/12/1,7735,↓540,6725,↓520
2018/11/17,8275,↓510,7245,↓490
2018/11/3,8785,↓375,7735,↓365
2018/10/20,9160,↑165,8100,↑160
2018/10/1,8995,↑240,7940,↑230
2018/9/18,8755,-,7710,-
2018/9/4,8610,↑180,7565,↑170
2018/8/21,8430,↓50,7395,↓50
2018/8/7,8480,↑70,7445,↑70
2018/7/24,8410,↓125,7375,↓120
2018/7/10,8535,↑270,7495,↑260
2018/6/26,8265,↓55,7235,↓55
2018/6/9,8320,↓130,7290,↓125
2018/5/26,8450,↑260,7415,↑250
2018/5/12,8190,↑170,7165,↑165
2018/4/27,8090,↑255,7060,↑245
2018/4/13,7835,↑55,6815,↑50
2018/3/29,7780,↑170,6765,↑165
2018/3/1,7610,↓190,6600,↓185
2018/2/10,7800,↓170,6785,↓160
2018/1/27,7970,↑65,6945,↑60
2018/1/13,7905,↑180,6885,↑175
2017/12/29,7725,↑70,6710,↑70
2017/11/17,7655,↑265,6640,↑250
2017/11/3,7390,↑150,6390,↑150
2017/9/30,7240,↑210,6240,↑195
2017/9/16,7030,↑95,6045,↑95
2017/8/5,6935,↑175,5950,↑165
2017/7/22,6760,↑75,5785,↑75
2017/6/24,6685,↓250,5710,↓240
2017/6/10,6935,↓180,5950,↓175
2017/5/26,7115,↑140,6125,↑135
2017/5/12,6975,↓250,5990,↓235
2017/4/13,7225,↑200,6225,↑190
2017/3/29,7025,↓230,6035,↓220
2017/3/15,7255,↓85,6255,↓85
2017/2/15,7340,↑50,6340,↑50
2017/1/26,7290,↓70,6290,↓70
2017/1/13,7360,↑70,6630,↑70
2016/12/29,7120,↑100,6130,↑95
2016/12/15,7020,↑435,6035,↑420
2016/12/1,6585,↑175,5615,↑170
2016/11/17,6410,↓365,5445,↓355
