Month,Current_Export,Current_Export_YOY,Current_Export_Comparative,Current_Import,Current_Import_YOY,Current_Import_Comparative,Total_Export,Total_Export_YOY,Total_Import,Total_Import_YOY
2022年02月份,-,-,-,-,-,-,5447,16.30%,4287,15.50%
2021年12月份,3405,20.90%,4.60%,2460,19.50%,-3.06%,33640,29.90%,26875,30.10%
2021年11月份,3255,22.00%,8.43%,2538,31.70%,17.68%,30264,31.10%,24447,31.40%
2021年10月份,3002,27.10%,-1.80%,2157,20.60%,-9.75%,27011,32.30%,21905,31.40%
2021年09月份,3057,28.10%,3.88%,2390,17.60%,1.27%,24008,33.00%,19733,32.60%
2021年08月份,2943,25.60%,4.12%,2360,33.10%,4.38%,20951,33.70%,17326,34.80%
2021年07月份,2827,19.30%,0.44%,2261,28.10%,-1.66%,18009,35.20%,14948,34.90%
2021年06月份,2814,32.20%,6.63%,2299,36.70%,5.27%,15184,38.60%,12668,36.00%
2021年05月份,2639,27.90%,0.00%,2184,51.10%,-1.21%,12376,40.20%,10342,35.60%
2021年04月份,2639,32.30%,9.45%,2211,43.10%,-2.76%,9737,44.00%,8158,31.90%
2021年03月份,2411,30.60%,-,2273,38.10%,-,7100,49.00%,5936,28.00%
2021年02月份,-,-,-,-,-,-,4689,60.60%,3656,22.20%
2020年12月份,2819,18.10%,5.17%,2038,6.50%,5.76%,25906,3.60%,20556,-1.10%
2020年11月份,2681,21.10%,13.02%,1926,4.50%,7.78%,23167,2.50%,18567,-1.60%
2020年10月份,2372,11.40%,-1.07%,1787,4.70%,-11.85%,20486,0.50%,16641,-2.30%
2020年09月份,2398,9.90%,1.91%,2028,13.20%,14.99%,18114,-0.80%,14853,-3.10%
2020年08月份,2353,9.50%,-1.00%,1763,-2.10%,0.59%,15716,-2.30%,12826,-5.20%
2020年07月份,2376,7.20%,11.26%,1753,-1.40%,4.88%,13364,-4.10%,11062,-5.70%
2020年06月份,2136,0.50%,3.27%,1672,2.70%,16.17%,10987,-6.20%,9309,-7.10%
2020年05月份,2068,-3.30%,3.26%,1439,-16.70%,-7.14%,8850,-7.70%,7636,-8.20%
2020年04月份,2003,3.50%,8.17%,1549,-14.20%,-6.24%,6783,-9.00%,6200,-5.90%
2020年03月份,1851,-6.60%,-,1652,-0.90%,-,4782,-13.30%,4650,-2.90%
2020年02月份,-,-,-,-,-,-,2924,-17.20%,2995,-4.00%
2019年12月份,2376,7.60%,7.17%,1909,16.30%,4.28%,24984,0.50%,20769,-2.80%
2019年11月份,2217,-1.10%,4.14%,1830,0.30%,7.58%,22601,-0.30%,18825,-4.50%
2019年10月份,2129,-0.90%,-2.38%,1701,-6.40%,-4.68%,20380,-0.20%,16977,-5.10%
2019年09月份,2181,-3.20%,1.55%,1785,-8.50%,-0.83%,18251,-0.10%,15267,-5.00%
2019年08月份,2148,-1.00%,-3.04%,1800,-5.60%,1.98%,16070,0.40%,13478,-4.60%
2019年07月份,2215,3.30%,4.08%,1765,-5.60%,9.03%,13926,0.60%,11669,-4.50%
2019年06月份,2128,-1.30%,-0.47%,1619,-7.30%,-6.00%,11712,0.10%,9900,-4.30%
2019年05月份,2138,1.10%,10.52%,1722,-8.50%,-4.15%,9583,0.40%,8279,-3.70%
2019年04月份,1935,-2.70%,-2.61%,1797,4.00%,8.21%,7446,0.20%,6552,-2.50%
2019年03月份,1987,14.20%,46.91%,1660,-7.60%,26.62%,5518,1.40%,4754,-4.80%
2019年02月份,1352,-20.70%,-37.84%,1311,-5.20%,-26.51%,3532,-4.60%,3095,-3.10%
2019年01月份,2176,9.10%,-1.66%,1784,-1.50%,8.66%,2176,9.10%,1784,-1.50%
2018年12月份,2212,-4.40%,-2.71%,1642,-7.60%,-10.11%,24874,9.90%,21356,15.80%
2018年11月份,2274,5.40%,4.66%,1827,3.00%,-0.33%,22720,11.80%,19724,18.40%
2018年10月份,2173,15.60%,-4.15%,1833,21.40%,-6.01%,20448,12.60%,17906,20.30%
2018年09月份,2267,14.50%,4.26%,1950,14.30%,2.89%,18267,12.20%,16053,20.00%
2018年08月份,2174,9.80%,0.86%,1895,20.00%,1.07%,16044,12.20%,14107,20.90%
2018年07月份,2156,12.20%,-0.54%,1875,27.30%,7.07%,13872,12.60%,12211,21.00%
2018年06月份,2167,11.30%,1.82%,1751,14.10%,-6.82%,11727,12.80%,10331,19.90%
2018年05月份,2129,12.60%,6.20%,1879,26.00%,9.49%,9571,13.30%,8574,21.00%
2018年04月份,2004,12.90%,15.11%,1717,21.50%,-4.16%,7457,13.70%,6690,19.60%
2018年03月份,1741,-2.70%,1.46%,1791,14.40%,29.90%,5453,14.10%,4969,18.90%
2018年02月份,1716,44.50%,-14.41%,1379,6.30%,-23.48%,3723,24.40%,3180,21.70%
2018年01月份,2005,11.10%,-13.49%,1802,36.90%,1.74%,2005,11.10%,1802,36.90%
2017年12月份,2318,10.90%,6.63%,1771,4.50%,-0.04%,22635,7.90%,18410,15.90%
2017年11月份,2174,12.30%,15.03%,1772,17.70%,17.48%,20396,8.00%,16636,17.30%
2017年10月份,1890,6.90%,-4.68%,1508,17.20%,-11.18%,18210,7.40%,14862,17.20%
2017年09月份,1983,8.10%,-0.49%,1698,18.70%,7.98%,16325,7.50%,13369,17.30%
2017年08月份,1992,5.50%,2.88%,1572,13.30%,7.03%,14364,7.60%,11649,16.90%
2017年07月份,1936,7.20%,-1.50%,1469,11.00%,-4.50%,12408,8.30%,10091,17.70%
2017年06月份,1966,11.30%,2.91%,1538,17.20%,2.40%,10473,8.50%,8622,18.90%
2017年05月份,1910,8.70%,6.13%,1502,14.80%,5.82%,8533,8.20%,7096,19.50%
2017年04月份,1800,8.00%,-0.34%,1420,11.90%,-9.40%,6627,8.10%,5594,20.80%
2017年03月份,1806,16.40%,50.41%,1567,20.30%,21.25%,4828,8.20%,4172,24.00%
2017年02月份,1201,-1.30%,-34.30%,1292,38.10%,-1.66%,3028,4.00%,2607,26.40%
2017年01月份,1828,7.90%,-12.73%,1314,16.70%,-22.06%,1828,7.90%,1314,16.70%
