Month,YOY,Cumulative_Growth
2021年12月份,4.30%,9.60%
2021年11月份,3.80%,10.10%
2021年10月份,3.50%,10.90%
2021年09月份,3.10%,11.80%
2021年08月份,5.30%,13.10%
2021年07月份,6.40%,14.40%
2021年06月份,8.30%,15.90%
2021年05月份,8.80%,17.80%
2021年04月份,9.80%,20.30%
2021年03月份,14.10%,24.50%
2021年02月份,0.00%,35.10%
2020年12月份,7.30%,2.80%
2020年11月份,7.00%,2.30%
2020年10月份,6.90%,1.80%
2020年09月份,6.90%,1.20%
2020年08月份,5.60%,0.40%
2020年07月份,4.80%,-0.40%
2020年06月份,4.80%,-1.30%
2020年05月份,4.40%,-2.80%
2020年04月份,3.90%,-4.90%
2020年03月份,-1.10%,-8.40%
2020年02月份,0.00%,-13.50%
2019年12月份,6.90%,5.70%
2019年11月份,6.20%,5.60%
2019年10月份,4.70%,5.60%
2019年09月份,5.80%,5.60%
2019年08月份,4.40%,5.60%
2019年07月份,4.80%,5.80%
2019年06月份,6.30%,6.00%
2019年05月份,5.00%,6.00%
2019年04月份,5.40%,6.20%
2019年03月份,8.50%,6.50%
2019年02月份,0.00%,5.30%
2018年12月份,5.70%,6.20%
2018年11月份,5.40%,6.30%
2018年10月份,5.90%,6.40%
2018年09月份,5.80%,6.40%
2018年08月份,6.10%,6.50%
2018年07月份,6.00%,6.60%
2018年06月份,6.00%,6.70%
2018年05月份,6.80%,6.90%
2018年04月份,7.00%,6.90%
2018年03月份,6.00%,6.80%
2018年02月份,0.00%,7.20%
2017年12月份,6.20%,6.60%
2017年11月份,6.10%,6.60%
2017年10月份,6.20%,6.70%
2017年09月份,6.60%,6.70%
2017年08月份,6.00%,6.70%
2017年07月份,6.40%,6.80%
2017年06月份,7.60%,6.90%
2017年05月份,6.50%,6.70%
2017年04月份,6.50%,6.70%
2017年03月份,7.60%,6.80%
2017年02月份,0.00%,6.30%
2016年12月份,6.00%,6.00%
2016年11月份,6.20%,6.00%
2016年10月份,6.10%,6.00%
2016年09月份,6.10%,6.00%
2016年08月份,6.30%,6.00%
2016年07月份,6.00%,6.00%
2016年06月份,6.20%,6.00%
2016年05月份,6.00%,5.90%
2016年04月份,6.00%,5.80%
2016年03月份,6.80%,5.80%
2016年02月份,0.00%,5.40%
2015年12月份,5.90%,6.10%
2015年11月份,6.20%,6.10%
2015年10月份,5.60%,6.10%
2015年09月份,5.70%,6.20%
2015年08月份,6.10%,6.30%
2015年07月份,6.00%,6.30%
2015年06月份,6.80%,6.30%
2015年05月份,6.10%,6.20%
2015年04月份,5.90%,6.20%
2015年03月份,5.60%,6.40%
2015年02月份,0.00%,6.80%
2014年12月份,7.90%,8.30%
2014年11月份,7.20%,8.30%
2014年10月份,7.70%,8.40%
2014年09月份,8.00%,8.50%
2014年08月份,6.90%,8.50%
2014年07月份,9.00%,8.80%
2014年06月份,9.20%,8.80%
2014年05月份,8.80%,8.70%
2014年04月份,8.70%,8.70%
2014年03月份,8.80%,8.70%
2014年02月份,8.60%,8.60%
2013年12月份,9.70%,9.70%
2013年11月份,10.00%,9.70%
2013年10月份,10.30%,9.70%
2013年09月份,10.20%,9.60%
2013年08月份,10.40%,9.50%
2013年07月份,9.70%,9.40%
2013年06月份,8.90%,9.30%
2013年05月份,9.20%,9.40%
2013年04月份,9.30%,9.40%
2013年03月份,8.90%,9.50%
2013年02月份,9.90%,9.90%
2012年12月份,10.30%,10.00%
2012年11月份,10.10%,10.00%
2012年10月份,9.60%,10.00%
2012年09月份,9.20%,10.00%
2012年08月份,8.90%,10.10%
2012年07月份,9.20%,10.30%
2012年06月份,9.50%,10.50%
2012年05月份,9.60%,10.70%
2012年04月份,9.30%,11.00%
2012年03月份,11.90%,11.60%
2012年02月份,21.30%,11.40%
2011年12月份,12.80%,13.90%
2011年11月份,12.40%,14.00%
2011年10月份,13.20%,14.10%
2011年09月份,13.80%,14.20%
2011年08月份,13.50%,14.20%
2011年07月份,14.00%,14.30%
2011年06月份,15.10%,14.30%
2011年05月份,13.30%,14.00%
2011年04月份,13.40%,14.20%
2011年03月份,14.80%,14.40%
2011年02月份,14.90%,14.10%
2010年12月份,13.50%,15.70%
2010年11月份,13.30%,15.80%
2010年10月份,13.10%,16.10%
2010年09月份,13.30%,16.30%
2010年08月份,13.90%,16.60%
2010年07月份,13.40%,17.00%
2010年06月份,13.70%,17.60%
2010年05月份,16.50%,18.50%
2010年04月份,17.80%,19.10%
2010年03月份,18.10%,19.60%
2010年02月份,12.80%,20.70%
2009年12月份,18.50%,11.00%
2009年11月份,19.20%,10.30%
2009年10月份,16.10%,9.40%
2009年09月份,13.90%,8.70%
2009年08月份,12.30%,8.10%
2009年07月份,10.80%,7.50%
2009年06月份,10.70%,7.00%
2009年05月份,8.90%,6.30%
2009年04月份,7.30%,5.50%
2009年03月份,8.30%,5.10%
2009年02月份,11.00%,3.80%
2008年12月份,5.70%,12.90%
2008年11月份,5.40%,13.70%
2008年10月份,8.20%,14.40%
2008年09月份,11.40%,15.20%
2008年08月份,12.80%,15.70%
2008年07月份,14.70%,16.10%
2008年06月份,16.00%,16.30%
2008年05月份,16.00%,16.30%
2008年04月份,15.70%,16.30%
2008年03月份,17.80%,16.40%
2008年02月份,15.40%,15.40%
