Quarter,Tax_Revenue_Total,YOY,Quarterly_Comparative_Rate
2021年1-4季度,172731,11.90%,-0.20%
2021年1-3季度,140702,18.40%,-0.22%
2021年1-2季度,100461,22.50%,3.44%
2021年1季度,48723,24.80%,-0.67%
2020年1-4季度,154310,-2.30%,-0.04%
2020年1-3季度,118876,-6.40%,-0.14%
2020年1-2季度,81990,-11.30%,4.47%
2020年1季度,39029,-16.40%,-0.75%
2019年1-4季度,157992,1.00%,-0.10%
2019年1-3季度,126970,-0.40%,-0.24%
2019年1-2季度,92424,0.90%,2.94%
2019年1季度,46706,5.40%,-0.60%
2018年1-4季度,156401,8.30%,-0.19%
2018年1-3季度,127486,12.70%,-0.24%
2018年1-2季度,91629,14.40%,3.16%
2018年1季度,44332,17.30%,-0.64%
2017年1-4季度,144360,10.70%,-0.05%
2017年1-3季度,113101,12.10%,-0.22%
2017年1-2季度,80074,10.90%,3.24%
2017年1季度,37793,14.70%,-0.66%
2016年1-4季度,130354,4.30%,0.03%
2016年1-3季度,100881,6.60%,-0.27%
2016年1-2季度,72236,8.60%,3.32%
2016年1季度,32954,7.80%,-0.70%
2015年1-4季度,124892,4.80%,0.08%
2015年1-3季度,94631.48,4.30%,-0.22%
2015年1-2季度,66506.6,3.50%,0.18%
2015年1季度,30563.3,1.20%,0.07%
2014年1-4季度,119158,7.80%,0.08%
2014年1-3季度,90695.17,7.40%,-0.22%
2014年1-2季度,64268.74,8.50%,0.13%
2014年1季度,30187.83,10.18%,0.16%
2013年1-4季度,110497,9.80%,0.04%
2013年1-3季度,84412.11,9.05%,-0.21%
2013年1-2季度,59260.61,7.88%,0.16%
2013年1季度,27399.2,6.00%,0.18%
2012年1-4季度,100600.88,12.10%,0.03%
2012年1-3季度,77410.08,8.60%,-0.23%
2012年1-2季度,54931.63,9.80%,0.12%
2012年1季度,25857.81,10.30%,0.40%
2011年1-4季度,89720.31,22.60%,-0.13%
2011年1-3季度,71292.18,27.40%,-0.20%
2011年1-2季度,50028.43,29.60%,0.13%
2011年1季度,23438.85,32.40%,0.36%
2010年1-4季度,73202,23.00%,-0.01%
2010年1-3季度,55957.37,24.20%,-0.17%
2010年1-2季度,38611.53,30.80%,0.18%
2010年1季度,17702.55,35.90%,0.22%
2009年1-4季度,59521.59,9.80%,-0.07%
2009年1-3季度,45057.56,2.20%,-0.06%
2009年1-2季度,29530.07,-6.00%,0.27%
2009年1季度,13023.58,-10.30%,0.29%
2008年1-4季度,54223.79,18.80%,-0.20%
2008年1-3季度,44093.12,26.10%,-0.25%
2008年1-2季度,31425.75,33.50%,0.16%
2008年1季度,14519.68,35.50%,0.36%
2007年1-4季度,45621.97,-,-0.07%
2007年1-3季度,34973.95,32.20%,-0.11%
2007年1-2季度,23534.81,29.50%,0.20%
2007年1季度,10717.46,26.30%,0.87%
2006年1-3季度,26927.8,23.20%,-0.14%
2006年1-2季度,18484.8,22.00%,0.14%
2006年1季度,8626.32,19.00%,0.83%
2005年1-3季度,21855.35,15.90%,-0.15%
2005年1-2季度,15149.73,13.40%,0.09%
2005年1季度,7249.16,10.70%,0.97%
