Month,Current_Month,Current_Month_YOY,Current_Month_Comparattive,Total,Total_YOY
2022年01月份,42000,10.00%,305.80%,42000,10.00%
2021年12月份,10350,-9.67%,-20.51%,199404,-0.45%
2021年11月份,13021,-14.95%,67.97%,189054,0.11%
2021年10月份,7752,16.34%,-56.34%,176033,1.44%
2021年09月份,17755,-7.39%,39.66%,168281,0.84%
2021年08月份,12713,-10.48%,51.51%,150526,1.91%
2021年07月份,8391,-17.90%,-63.80%,137813,3.23%
2021年06月份,23182,21.82%,62.18%,129422,4.98%
2021年05月份,14294,-7.79%,11.32%,106240,1.90%
2021年04月份,12840,-20.93%,-53.33%,91946,3.60%
2021年03月份,27511,-9.47%,105.10%,79106,9.09%
2021年02月份,13400,86.06%,-64.90%,51582,22.45%
2021年01月份,38182,9.33%,233.20%,38182,9.33%
2020年12月份,11458,6.39%,-25.16%,200309,18.64%
2020年11月份,15309,12.29%,129.80%,188851,19.48%
2020年10月份,6663,21.82%,-65.24%,173542,20.15%
2020年09月份,19171,8.85%,35.00%,166879,20.09%
2020年08月份,14201,8.86%,38.94%,147708,21.72%
2020年07月份,10221,26.40%,-46.29%,133507,23.27%
2020年06月份,19029,13.69%,22.75%,123286,23.02%
2020年05月份,15502,30.76%,-4.54%,104257,24.89%
2020年04月份,16239,85.95%,-46.56%,88755,23.91%
2020年03月份,30390,55.17%,322.00%,72516,15.30%
2020年02月份,7202,-5.74%,-79.38%,42126,-2.73%
2020年01月份,34924,-2.09%,224.30%,34924,-2.09%
2019年12月份,10769.82,16.04%,-21.00%,168834.91,7.74%
2019年11月份,13633.17,10.82%,149.30%,158065.09,7.21%
2019年10月份,5469.64,-23.41%,-68.94%,144431.92,6.88%
2019年09月份,17612.44,22.81%,35.01%,138962.28,8.58%
2019年08月份,13045.18,-0.72%,61.33%,121349.84,6.78%
2019年07月份,8086.07,-37.13%,-51.69%,108304.66,7.76%
2019年06月份,16736.9,-0.30%,41.17%,100218.58,14.35%
2019年05月份,11855.46,4.03%,35.76%,83481.68,17.82%
2019年04月份,8732.83,-20.52%,-55.41%,71626.22,20.46%
2019年03月份,19584.4,71.42%,156.30%,62893.4,29.75%
2019年02月份,7640.64,-25.09%,-78.58%,43309,16.89%
2019年01月份,35668.36,32.84%,284.30%,35668.36,32.84%
2018年12月份,9281.46,60.87%,-24.56%,156712.41,13.21%
2018年11月份,12302.33,7.65%,72.27%,147430.95,11.13%
2018年10月份,7141.28,7.63%,-50.20%,135128.62,11.46%
2018年09月份,14341,20.67%,9.14%,127987.33,11.68%
2018年08月份,13140,14.60%,2.17%,113646.34,10.64%
2018年07月份,12861.15,40.54%,-23.39%,100506.34,10.15%
2018年06月份,16787.34,15.98%,47.31%,87645.18,6.76%
2018年05月份,11396.18,-3.26%,3.72%,70857.84,4.78%
2018年04月份,10987.35,1.68%,-3.83%,59461.66,6.48%
2018年03月份,11424.57,-1.39%,12.01%,48474.31,7.63%
2018年02月份,10199.49,-1.14%,-62.01%,37049.74,10.76%
2018年01月份,26850.25,16.07%,365.40%,26850.25,16.07%
2017年12月份,5769.49,-41.97%,-49.52%,138432.39,11.30%
2017年11月份,11428.46,35.04%,72.24%,132662.9,15.93%
2017年10月份,6635.25,10.40%,-44.17%,121234.44,14.41%
2017年09月份,11884.84,-5.89%,3.65%,114599.19,14.65%
2017年08月份,11466.15,43.88%,25.29%,102714.34,17.62%
2017年07月份,9151.56,101.10%,-36.77%,91248.19,14.98%
2017年06月份,14474.35,10.15%,22.87%,82096.63,9.74%
2017年05月份,11780.36,25.67%,9.02%,67622.28,9.66%
2017年04月份,10805.69,91.52%,-6.74%,55841.92,6.79%
2017年03月份,11586.06,-12.06%,12.30%,45036.23,-3.46%
2017年02月份,10317.32,27.29%,-55.40%,33450.17,-0.08%
2017年01月份,23132.85,-8.82%,132.70%,23132.85,-8.82%
2016年12月份,9942.79,19.46%,17.48%,124372.37,10.36%
2016年11月份,8463.26,-4.62%,40.81%,114429.58,9.64%
2016年10月份,6010.33,7.83%,-52.40%,105966.32,10.96%
2016年09月份,12628.06,21.22%,58.46%,99955.99,11.16%
2016年08月份,7969.2,2.75%,75.14%,87327.92,9.84%
2016年07月份,4550.22,-22.75%,-65.37%,79358.73,10.60%
2016年06月份,13141.11,-0.74%,40.18%,74808.5,13.59%
2016年05月份,9374.27,10.15%,66.15%,61667.39,17.19%
2016年04月份,5642.05,-29.87%,-57.18%,52293.13,18.55%
2016年03月份,13175.56,32.82%,62.55%,46651.07,29.35%
2016年02月份,8105.44,-29.13%,-68.05%,33475.51,28.04%
2016年01月份,25370.07,72.49%,204.80%,25370.07,72.49%
2015年12月份,8323.08,19.36%,-6.20%,112692.9,15.21%
2015年11月份,8872.9,4.06%,59.19%,104369.82,14.89%
2015年10月份,5573.76,1.66%,-46.49%,95496.92,16.02%
2015年09月份,10417.24,21.53%,34.31%,89923.16,17.04%
2015年08月份,7755.92,10.40%,31.67%,79505.92,16.48%
2015年07月份,5890.47,52.92%,-55.51%,71750,17.18%
2015年06月份,13239.56,22.67%,55.57%,65859.53,14.78%
2015年05月份,8510.18,-2.27%,5.78%,52619.97,12.95%
2015年04月份,8045.06,3.87%,-18.90%,44109.79,16.45%
2015年03月份,9919.86,-5.50%,-13.27%,36064.73,19.68%
2015年02月份,11436.98,77.37%,-22.24%,26144.87,33.13%
2015年01月份,14707.88,11.51%,110.90%,14707.88,11.51%
2014年12月份,6973,44.52%,-18.22%,97813,10.00%
2014年11月份,8527,36.52%,55.52%,90840,8.02%
2014年10月份,5483,8.36%,-36.04%,82313,5.74%
2014年09月份,8572,8.92%,22.02%,76830,5.56%
2014年08月份,7025,-1.45%,82.37%,68258,5.15%
2014年07月份,3852,-44.95%,-64.31%,61233,5.96%
2014年06月份,10793,25.09%,23.94%,57381,12.97%
2014年05月份,8708,30.09%,12.43%,46588,10.49%
2014年04月份,7745,-2.25%,-26.22%,37880,6.80%
2014年03月份,10497,-1.20%,62.79%,30135,9.40%
2014年02月份,6448,4.00%,-51.11%,19638,16.06%
2014年01月份,13190,23.03%,173.40%,13190,23.03%
2013年12月份,4825,6.14%,-22.75%,88917,8.39%
2013年11月份,6246,19.65%,23.44%,84092,8.52%
2013年10月份,5060,0.12%,-35.71%,77846,7.71%
2013年09月份,7870,26.40%,10.41%,72786,8.28%
