Montth,Manufacturing_Industry_Index,Manufacturing_YOY,Nonmanufacturing_Industry_Index,Nonmanufacturing_YOY
2022年02月份,50.2,-0.79%,51.6,0.39%
2022年01月份,50.1,-2.34%,51.1,-2.48%
2021年12月份,50.3,-3.08%,52.7,-5.39%
2021年11月份,50.1,-3.84%,52.3,-7.27%
2021年10月份,49.2,-4.28%,52.4,-6.76%
2021年09月份,49.6,-3.69%,53.2,-4.83%
2021年08月份,50.1,-1.76%,47.5,-13.95%
2021年07月份,50.4,-1.37%,53.3,-1.66%
2021年06月份,50.9,0.00%,53.5,-1.65%
2021年05月份,51,0.79%,55.2,2.99%
2021年04月份,51.1,0.59%,54.9,3.20%
2021年03月份,51.9,-0.19%,56.3,7.65%
2021年02月份,50.6,41.74%,51.4,73.65%
2021年01月份,51.3,2.60%,52.4,-3.14%
2020年12月份,51.9,3.39%,55.7,4.11%
2020年11月份,52.1,3.78%,56.4,3.68%
2020年10月份,51.4,4.26%,56.2,6.44%
2020年09月份,51.5,3.41%,55.9,4.10%
2020年08月份,51,3.03%,55.2,2.60%
2020年07月份,51.1,2.82%,54.2,0.93%
2020年06月份,50.9,3.04%,54.4,0.37%
2020年05月份,50.6,2.43%,53.6,-1.29%
2020年04月份,50.8,1.40%,53.2,-2.03%
2020年03月份,52,2.97%,52.3,-4.56%
2020年02月份,35.7,-27.44%,29.6,-45.49%
2020年01月份,50,1.01%,54.1,-1.10%
2019年12月份,50.2,1.62%,53.5,-0.56%
2019年11月份,50.2,0.40%,54.4,1.87%
2019年10月份,49.3,-1.79%,52.8,-2.04%
2019年09月份,49.8,-1.97%,53.7,-2.19%
2019年08月份,49.5,-3.51%,53.8,-0.74%
2019年07月份,49.7,-2.93%,53.7,-0.56%
2019年06月份,49.4,-4.08%,54.2,-1.45%
2019年05月份,49.4,-4.82%,54.3,-1.09%
2019年04月份,50.1,-2.53%,54.3,-0.91%
2019年03月份,50.5,-1.94%,54.8,0.37%
2019年02月份,49.2,-2.19%,54.3,-0.18%
2019年01月份,49.5,-3.51%,54.7,-1.08%
2018年12月份,49.4,-4.26%,53.8,-2.18%
2018年11月份,50,-3.47%,53.4,-2.55%
2018年10月份,50.2,-2.71%,53.9,-0.74%
2018年09月份,50.8,-3.05%,54.9,-0.90%
2018年08月份,51.3,-0.77%,54.2,1.50%
2018年07月份,51.2,-0.39%,54,-0.92%
2018年06月份,51.5,-0.39%,55,0.18%
2018年05月份,51.9,1.37%,54.9,0.73%
2018年04月份,51.4,0.39%,54.8,1.48%
2018年03月份,51.5,-0.58%,54.6,-0.91%
2018年02月份,50.3,-2.52%,54.4,0.37%
2018年01月份,51.3,0.00%,55.3,1.28%
2017年12月份,51.6,0.39%,55,0.92%
2017年11月份,51.8,0.19%,54.8,0.18%
2017年10月份,51.6,0.78%,54.3,0.56%
2017年09月份,52.4,3.97%,55.4,3.17%
2017年08月份,51.7,2.58%,53.4,-0.19%
