Month,Curent_Month,Curent_Month_YOY,Total
2022年1月,9.1,9.10%,109.1
2021年12月,110.3,10.30%,108.1
2021年11月,112.9,12.90%,107.9
2021年10月,113.5,13.50%,107.3
2021年9月,110.7,10.70%,106.7
2021年8月,109.5,9.50%,106.2
2021年7月,109,9.00%,105.7
2021年6月,108.8,8.80%,105.1
2021年5月,109,9.00%,104.4
2021年4月,106.8,6.80%,103.3
2021年3月,104.4,4.40%,102.1
2021年2月,101.7,1.70%,101
2021年1月,100.3,0.30%,100.3
2020年12月,99.6,-0.40%,98.2
2020年11月,98.5,-1.50%,98
2020年10月,97.9,-2.10%,98
2020年9月,97.9,-2.10%,98
2020年8月,98,-2.00%,98
2020年7月,97.6,-2.40%,98
2020年6月,97,-3.00%,98.1
2020年5月,96.3,-3.70%,98.3
2020年4月,96.9,-3.10%,98.8
2020年3月,98.5,-1.50%,99.4
2020年2月,99.6,-0.40%,99.8
2020年1月,100.1,0.10%,100.1
2019年12月,99.5,-0.50%,99.7
2019年11月,98.6,-1.40%,99.7
2019年10月,98.4,-1.60%,99.8
2019年9月,98.8,-1.20%,100
2019年8月,99.2,-0.80%,100.1
2019年7月,99.7,-0.30%,100.2
2019年6月,100,0.00%,100.3
2019年5月,100.6,0.60%,100.4
2019年4月,100.9,0.90%,100.3
2019年3月,100.4,0.40%,100.2
2019年2月,100.1,0.10%,100.1
2019年1月,100.1,0.10%,100.1
2018年12月,100.9,0.90%,103.5
2018年11月,102.7,2.70%,103.8
2018年10月,103.3,3.30%,103.9
2018年9月,103.6,3.60%,104
2018年8月,104.1,4.10%,104
2018年7月,104.6,4.60%,104
2018年6月,104.7,4.70%,103.9
2018年5月,104.1,4.10%,103.7
2018年4月,103.4,3.40%,103.6
2018年3月,103.1,3.10%,103.7
2018年2月,103.7,3.70%,104
2018年1月,104.3,4.30%,104.3
2017年12月,104.9,4.90%,106.3
2017年11月,105.8,5.80%,106.4
2017年10月,106.9,6.90%,106.5
2017年9月,106.9,6.90%,106.5
2017年8月,106.4,6.30%,106.4
2017年7月,105.5,5.50%,106.4
2017年6月,105.5,5.50%,106.6
2017年5月,105.5,5.50%,106.8
2017年4月,106.4,6.40%,107.2
2017年3月,107.6,7.60%,107.4
2017年2月,107.8,7.80%,107.3
2017年1月,106.9,6.90%,106.9
2016年12月,105.5,5.50%,98.6
2016年11月,103.3,3.30%,98
2016年10月,101.2,1.20%,97.5
2016年9月,100.1,0.10%,97.1
2016年8月,99.2,-0.80%,96.8
2016年7月,98.3,-1.70%,96.4
2016年6月,97.4,-2.60%,96.1
2016年5月,97.2,-2.80%,95.9
2016年4月,96.62,-3.40%,95.53
2016年3月,95.68,-4.30%,95.16
2016年2月,95.1,-4.90%,94.9
2016年1月,94.7,-5.30%,94.72
2015年12月,94.1,-5.90%,94.8
2015年11月,94.1,-5.90%,94.8
2015年10月,94.1,-5.90%,94.9
2015年9月,94.06,-5.94%,95.01
2015年8月,94.08,-5.92%,95.13
2015年7月,94.63,-5.37%,95.28
2015年6月,95.19,-4.81%,95.39
2015年5月,95.39,-4.61%,95.43
2015年4月,95.43,-4.57%,95.44
2015年3月,95.44,-4.56%,95.44
2015年2月,95.2,-4.80%,95.44
2015年1月,95.68,-4.32%,95.68
2014年12月,96.68,-3.32%,98.11
2014年11月,97.31,-2.69%,98.24
2014年10月,97.76,-2.24%,98.33
2014年9月,98.2,-1.80%,98.4
2014年8月,98.8,-1.20%,98.42
2014年7月,99.13,-0.87%,98.37
2014年6月,98.89,-1.11%,98.24
2014年5月,98.55,-1.45%,98.12
2014年4月,98,-2.00%,98.01
2014年3月,97.7,-2.30%,98.01
2014年2月,97.98,-2.02%,98.17
2014年1月,98.36,-1.64%,98.36
2013年12月,98.64,-1.36%,98.09
2013年11月,98.58,-1.42%,98.04
2013年10月,98.49,-1.51%,97.99
2013年9月,98.66,-1.34%,97.93
2013年8月,98.38,-1.62%,97.84
2013年7月,97.73,-2.27%,97.77
2013年6月,97.3,-2.70%,97.77
2013年5月,97.13,-2.87%,97.87
2013年4月,97.38,-2.62%,98.05
2013年3月,98.08,-1.92%,98.27
2013年2月,98.37,-1.63%,98.37
2013年1月,98.36,-1.64%,98.36
2012年12月,98.06,-1.94%,98.28
2012年11月,97.8,-2.20%,98.3
2012年10月,97.24,-2.76%,98.35
2012年9月,96.45,-3.55%,98.47
2012年8月,96.52,-3.48%,98.73
2012年7月,97.13,-2.87%,99.05
2012年6月,97.92,-2.08%,99.37
2012年5月,98.6,-1.40%,99.66
2012年4月,99.3,-0.70%,99.93
2012年3月,99.68,-0.32%,100.15
2012年2月,100.03,0.03%,100.38
2012年1月,100.73,0.73%,100.73
2011年12月,101.69,1.69%,106.03
2011年11月,102.72,2.72%,106.44
2011年10月,105,5.00%,106.82
2011年9月,106.52,6.52%,107.02
2011年8月,107.25,7.25%,107.09
2011年7月,107.54,7.54%,107.06
2011年6月,107.12,7.12%,106.98
2011年5月,106.79,6.79%,106.96
2011年4月,106.82,6.82%,107
2011年3月,107.31,7.31%,107.06
2011年2月,107.23,7.23%,106.94
2011年1月,106.64,6.64%,106.64
2010年12月,105.93,5.93%,105.54
2010年11月,106.06,6.06%,105.51
2010年10月,105.04,5.04%,105.45
2010年9月,104.33,4.33%,105.5
2010年8月,104.32,4.32%,105.64
2010年7月,104.84,4.84%,105.83
2010年6月,106.41,6.41%,106
2010年5月,107.13,7.13%,105.9
2010年4月,106.81,6.81%,105.61
2010年3月,105.91,5.91%,105.21
2010年2月,105.39,5.39%,104.86
2010年1月,104.32,4.32%,104.32
2009年12月,101.7,1.70%,94.61
2009年11月,97.92,-2.08%,93.96
2009年10月,94.15,-5.85%,93.57
2009年9月,93.01,-6.99%,93.5
2009年8月,92.14,-7.86%,93.56
2009年7月,91.78,-8.22%,93.76
2009年6月,92.2,-7.80%,94.1
2009年5月,92.8,-7.20%,94.48
2009年4月,93.4,-6.60%,94.9
2009年3月,94.01,-5.99%,95.4
2009年2月,95.53,-4.47%,96.1
2009年1月,96.65,-3.35%,96.65
2008年12月,98.86,-1.14%,106.87
2008年11月,101.99,1.99%,107.6
2008年10月,106.59,6.59%,108.16
2008年9月,109.13,9.13%,108.34
2008年8月,110.06,10.06%,108.2
2008年7月,110.03,10.03%,108
2008年6月,108.84,8.84%,107.6
2008年5月,108.22,8.22%,107.4
2008年4月,108.12,8.12%,107.2
2008年3月,107.95,7.95%,106.9
