Month,Current_Month_Value,YOY,Comparative_Rate,Total
2021年12月份,10262.15,483.70%,-11.23%,2386062.38
2021年11月份,11560.86,-43.91%,43.56%,2375800.23
2021年10月份,8052.79,391.40%,-64.97%,2364239.37
2021年09月份,22985.12,32.11%,64.11%,2356186.58
2021年08月份,14006.14,-30.49%,209.40%,2333201.46
2021年07月份,-12806.87,-1230%,-132.20%,2319195.32
2021年06月份,39825.97,29.08%,57.85%,2332002.19
2021年05月份,25230.33,8.96%,589.10%,2292176.22
2021年04月份,-5158.85,-144.00%,-114.00%,2266945.89
2021年03月份,36937.7,-9.16%,184.70%,2272104.74
2021年02月份,12972.5,12.74%,-99.42%,2235167.04
2020年12月份,-2674.76,-143.60%,-113.00%,2183744.07
2020年11月份,20612.64,59.68%,845.90%,2186418.83
2020年10月份,-2763.31,-179.80%,-115.90%,2165806.19
2020年09月份,17399.06,142.40%,-13.66%,2168569.5
2020年08月份,20150.96,8.62%,1678%,2151170.44
2020年07月份,1133.15,-79.29%,-96.33%,2131019.48
2020年06月份,30853.36,33.17%,33.24%,2129886.33
2020年05月份,23155.64,88.19%,97.66%,2099032.97
2020年04月份,11715.18,377.10%,-71.19%,2075877.33
2020年03月份,40661.59,129.30%,253.40%,2064162.15
2020年02月份,11506.11,-19.57%,-99.43%,2023500.56
2019年12月份,6140.01,3780%,-52.43%,1981642.58
2019年11月份,12908.64,47.50%,272.80%,1975502.57
2019年10月份,3462.63,-9.42%,-51.76%,1962593.93
2019年09月份,7177.72,-7.36%,-61.31%,1959131.3
2019年08月份,18551.66,71.49%,239.00%,1951953.58
2019年07月份,5472.83,-47.71%,-76.38%,1933401.92
2019年06月份,23168.98,6.29%,88.30%,1927929.09
2019年05月份,12304.49,-3.78%,401.10%,1904760.11
2019年04月份,2455.26,-43.82%,-86.16%,1892455.62
2019年03月份,17735.02,19.67%,23.96%,1890000.36
2019年02月份,14306.55,569.60%,-99.23%,1872265.34
2018年12月份,158.24,102.00%,-98.19%,1825158.24
2018年11月份,8751.81,-44.42%,128.90%,1825000
2018年10月份,3822.83,-64.83%,-50.66%,1816248.19
2018年09月份,7747.96,106.90%,-28.38%,1812425.36
2018年08月份,10818.13,-11.02%,3.36%,1804677.4
2018年07月份,10466.76,32.61%,-51.98%,1793859.27
2018年06月份,21798.24,-18.37%,70.47%,1783392.51
2018年05月份,12787.31,16.76%,192.60%,1761594.27
2018年04月份,4370.49,48.38%,-70.51%,1748806.96
2018年03月份,14819.85,4.29%,586.40%,1744436.47
