Month,Current_Month,Current_Month_YOY,Current_Month_Comparattive,Total,Total_YOY,
2021年12月份,41269,1.70%,0.55%,440823,12.50%,
2021年11月份,41043,3.90%,1.46%,399554,13.70%,
2021年10月份,40454,4.90%,9.83%,358511,14.90%,
2021年09月份,36833,4.40%,7.09%,318057,16.40%,
2021年08月份,34395,2.50%,-1.52%,281224,18.10%,
2021年07月份,34925,8.50%,-7.08%,246829,20.70%,
2021年06月份,37586,12.10%,4.57%,211904,23.00%,
2021年05月份,35945,12.40%,8.42%,174319,25.70%,
2021年04月份,33153,17.70%,-6.57%,138373,29.60%,
2021年03月份,35484,34.20%,-,105221,33.90%,
2021年02月份,-,-,-,69737,33.80%,
2020年12月份,40566,4.60%,2.66%,391981,-3.90%,
2020年11月份,39514,5.00%,2.43%,351415,-4.80%,
2020年10月份,38576,4.30%,9.30%,311901,-5.90%,
2020年09月份,35295,3.30%,5.14%,273324,-7.20%,
2020年08月份,33571,0.50%,4.25%,238029,-8.60%,
2020年07月份,32203,-1.10%,-3.95%,204459,-9.90%,
2020年06月份,33526,-1.80%,4.86%,172256,-11.40%,
2020年05月份,31973,-2.80%,13.47%,138730,-13.50%,
2020年04月份,28178,-7.50%,6.53%,106758,-16.20%,
2020年03月份,26450,-15.80%,-,78580,-19.00%,
2020年02月份,-,-,-,52130,-20.50%,
2019年12月份,38777,8.00%,1.79%,411649,8.00%,
2019年11月份,38094,8.00%,-0.03%,372872,8.00%,
2019年10月份,38104,7.20%,10.46%,334778,8.10%,
2019年09月份,34495,7.80%,1.77%,296674,8.20%,
2019年08月份,33896,7.50%,2.49%,262179,8.20%,
2019年07月份,33073,7.60%,-2.38%,228283,8.30%,
2019年06月份,33878,9.80%,2.80%,195210,8.40%,
2019年05月份,32956,8.60%,7.75%,161332,8.10%,
2019年04月份,30586,7.20%,-3.59%,128376,8.00%,
2019年03月份,31726,8.70%,-,97790,8.30%,
2019年02月份,-,-,-,66064,8.20%,
2018年12月份,35893,8.20%,1.80%,380987,9.00%,
2018年11月份,35260,8.10%,-0.77%,345093,9.10%,
2018年10月份,35534,8.60%,11.03%,309834,9.20%,
2018年09月份,32005,9.20%,1.47%,274299,9.30%,
2018年08月份,31542,9.00%,2.63%,242294,9.30%,
2018年07月份,30734,8.80%,-0.35%,210752,9.30%,
2018年06月份,30842,9.00%,1.59%,180018,9.40%,
2018年05月份,30359,8.50%,6.37%,149176,9.50%,
2018年04月份,28542,9.40%,-2.23%,118817,9.70%,
2018年03月份,29194,10.10%,-,90275,9.80%,
2018年02月份,-,-,-,61082,9.70%,
2017年12月份,34734,9.40%,1.84%,366262,10.20%,
2017年11月份,34108,10.20%,-0.39%,331528,10.30%,
2017年10月份,34241,10.00%,10.92%,297419,10.30%,
2017年09月份,30870,10.30%,1.78%,263178,10.40%,
2017年08月份,30330,10.10%,2.43%,232308,10.40%,
2017年07月份,29610,10.40%,-0.66%,201978,10.40%,
2017年06月份,29808,11.00%,1.18%,172369,10.40%,
2017年05月份,29459,10.70%,8.00%,142561,10.30%,
2017年04月份,27278,10.70%,-2.10%,113102,10.20%,
2017年03月份,27864,10.90%,-,85823,10.00%,
2017年02月份,-,-,-,57960,9.50%,
2016年12月份,31757,10.90%,2.58%,332316,10.40%,
2016年11月份,30959,10.80%,-0.51%,300560,10.40%,
2016年10月份,31119,10.00%,11.23%,269601,10.30%,
2016年09月份,27976,10.70%,1.58%,238482,10.40%,
2016年08月份,27540,10.60%,2.66%,210505,10.30%,
2016年07月份,26827,10.20%,-0.11%,182966,10.30%,
2016年06月份,26857,10.60%,0.92%,156138,10.30%,
2016年05月份,26611,10.00%,7.97%,129281,10.20%,
2016年04月份,24646,10.10%,-1.86%,102670,10.30%,
2016年03月份,25114,10.50%,-,78024,10.30%,
2016年02月份,-,-,-,52910,10.20%,
2015年12月份,28635,11.10%,2.50%,300931,10.70%,
2015年11月份,27937.35,11.17%,-1.21%,272296.12,10.64%,
2015年10月份,28278.89,11.02%,11.90%,244358.78,10.58%,
2015年09月份,25270.6,10.90%,1.52%,216079.9,10.50%,
2015年08月份,24893.36,10.79%,2.28%,190809.27,10.47%,
2015年07月份,24338.78,10.51%,0.24%,165915.91,10.43%,
2015年06月份,24280.27,10.63%,0.35%,141577.13,10.41%,
