Month,Current_month_Value,YOY,Comparative_Rate,Total_from_Beg_of_the_Year
2021年12月份,50465,160.80%,4.57%,544547
2021年11月份,48259,196.60%,0.55%,494082
2021年10月份,47996,2.64%,-5.73%,445823
2021年09月份,50914,-11.75%,14.72%,397827
2021年08月份,44380,-10.56%,-4.83%,346913
2021年07月份,46633,-2.05%,-24.76%,302533
2021年06月份,61983,-24.79%,23.69%,255900
2021年05月份,50113,-19.65%,4.82%,193917
2021年04月份,47810,-9.24%,-5.81%,143804
2021年03月份,50758,-0.13%,0.00%,95994
2021年02月份,0,0.00%,0.00%,45236
2020年12月份,19347,8.94%,18.93%,518907
2020年11月份,16268,-28.77%,-65.21%,499560
2020年10月份,46762,-5.87%,-18.95%,483292
2020年09月份,57696,-4.75%,16.28%,436530
2020年08月份,49620,-4.09%,4.22%,378834
2020年07月份,47611,-4.38%,-42.23%,329214
2020年06月份,82409,1.06%,32.13%,281603
2020年05月份,62370,0.91%,18.40%,199194
2020年04月份,52679,-2.22%,3.65%,136824
2020年03月份,50822,-10.87%,0.00%,84145
2020年02月份,0,0.00%,0.00%,33323
2019年12月份,17760,-32.65%,-22.23%,551478
2019年11月份,22838,-62.99%,-54.03%,533718
2019年10月份,49676,-22.53%,-17.99%,510880
2019年09月份,60576,-11.29%,17.09%,461204
2019年08月份,51736,-12.84%,3.90%,400628
2019年07月份,49792,-14.86%,-38.94%,348892
2019年06月份,81545,0.33%,31.93%,299100
2019年05月份,61808,0.20%,14.72%,217555
2019年04月份,53876,0.52%,-5.52%,155747
2019年03月份,57022,1.58%,0.00%,101871
2019年02月份,0,0.00%,0.00%,44849
2018年12月份,26369,-53.43%,-57.26%,635636
2018年11月份,61700,7.79%,-3.78%,609267
2018年10月份,64125,8.06%,-6.09%,547567
2018年09月份,68284,6.15%,15.03%,483442
2018年08月份,59360,4.62%,1.50%,415158
2018年07月份,58482,2.95%,-28.04%,355798
2018年06月份,81273,5.70%,31.75%,297316
2018年05月份,61685,3.86%,15.09%,216043
2018年04月份,53595,6.02%,-4.53%,154358
2018年03月份,56137,7.13%,0.00%,100763
2018年02月份,0,0.00%,0.00%,44626
2017年12月份,56627,-2.29%,-1.07%,631684
2017年11月份,57239,5.77%,-3.54%,575057
2017年10月份,59340,3.16%,-7.75%,517818
2017年09月份,64328,6.21%,13.37%,458478
2017年08月份,56741,3.84%,-0.11%,394150
2017年07月份,56804,6.51%,-26.12%,337409
2017年06月份,76887,8.77%,29.46%,280605
2017年05月份,59391,7.83%,17.49%,203718
2017年04月份,50550,8.13%,-3.53%,144327
2017年03月份,52399,9.54%,0.00%,93777
2017年02月份,0,0.00%,0.00%,41378
2016年12月份,57953,6.52%,7.08%,596501
2016年11月份,54119,8.77%,-5.92%,538548
2016年10月份,57523,8.75%,-5.03%,484429
2016年09月份,60567,9.02%,10.84%,426906
2016年08月份,54645,8.19%,2.46%,366339
2016年07月份,53334,3.89%,-24.55%,311694
2016年06月份,70689,7.29%,28.34%,258360
2016年05月份,55079,7.44%,17.82%,187671
2016年04月份,46749,10.08%,-2.27%,132592
2016年03月份,47835,11.16%,0.00%,85843
2016年02月份,0,0.00%,0.00%,38008
2015年12月份,54407.85,6.81%,9.35%,551590
2015年11月份,49757.27,10.80%,-5.93%,497182.15
2015年10月份,52893.84,9.34%,-4.79%,447424.88
2015年09月份,55553.68,6.83%,9.99%,394531.04
2015年08月份,50508.86,9.11%,-1.61%,338977.36
2015年07月份,51336.64,9.88%,-22.08%,288468.5
2015年06月份,65886.46,11.57%,28.52%,237131.87
